OrderID,LineID,ItemCode,ItemCategory,Quantity,UnitPrice,RequestedDate,LineAmount
500001,1,SKU-4743,Consumables,89,51.9,2024-12-18,4619.099999999999
500002,1,SKU-1567,Software,17,29.38,2024-04-17,499.46
500003,1,SKU-4456,Equipment,240,83.2,2024-04-06,19968.0
500004,1,SKU-8598,Software,82,28.72,2025-04-09,2355.04
500004,2,SKU-1695,Software,203,33.4,2025-04-26,6780.2
500004,3,SKU-6474,Software,93,41.95,2025-05-01,3901.3500000000004
500004,4,SKU-8223,Software,236,105.55,2025-04-03,24909.8
500005,1,SKU-9453,Services,35,20.34,2025-08-15,711.9
500006,1,SKU-1118,Consumables,240,124.19,2024-08-26,29805.6
500006,2,SKU-1878,Equipment,131,121.11,2024-09-28,15865.41
500007,1,SKU-2096,Equipment,89,41.46,2025-09-25,3689.94
500007,2,SKU-9508,Services,115,24.14,2025-09-13,2776.1
500008,1,SKU-7993,Software,137,68.68,2025-08-25,9409.160000000002
500008,2,SKU-2480,Consumables,71,70.45,2025-08-23,5001.95
500008,3,SKU-2868,Consumables,117,47.52,2025-08-01,5559.84
500009,1,SKU-2964,Software,131,68.45,2025-08-11,8966.95
500009,2,SKU-1251,Software,98,96.73,2025-07-16,9479.54
500009,3,SKU-8622,Consumables,43,17.58,2025-07-17,755.9399999999999
500009,4,SKU-4853,Hardware,177,82.27,2025-08-03,14561.789999999999
500010,1,SKU-8279,Equipment,119,54.06,2025-12-22,6433.14
500010,2,SKU-4050,Software,104,68.17,2025-12-13,7089.68
500011,1,SKU-8524,Services,34,69.57,2025-11-14,2365.3799999999997
500011,2,SKU-7957,Hardware,239,61.33,2025-11-01,14657.869999999999
500011,3,SKU-8292,Hardware,192,28.95,2025-11-05,5558.4
500012,1,SKU-1128,Hardware,206,114.11,2026-01-14,23506.66
500012,2,SKU-9247,Software,112,43.46,2026-02-01,4867.52
500012,3,SKU-4750,Services,242,55.21,2026-01-13,13360.82
500012,4,SKU-6320,Software,117,52.58,2026-01-27,6151.86
500013,1,SKU-6417,Services,117,74.54,2024-08-16,8721.18
500014,1,SKU-2815,Hardware,88,75.55,2025-06-05,6648.4
500015,1,SKU-6612,Services,110,36.51,2024-09-29,4016.1
500015,2,SKU-3035,Equipment,220,90.9,2024-09-20,19998.0
500015,3,SKU-3803,Software,87,30.69,2024-10-23,2670.03
500016,1,SKU-5382,Services,142,66.54,2024-11-19,9448.68
500016,2,SKU-8318,Consumables,70,81.51,2024-12-17,5705.700000000001
500016,3,SKU-5292,Consumables,205,63.59,2024-11-19,13035.95
500017,1,SKU-4151,Software,59,57.93,2024-12-05,3417.87
500017,2,SKU-6443,Software,118,32.49,2024-11-05,3833.82
500017,3,SKU-7615,Consumables,49,42.95,2024-11-22,2104.55
500017,4,SKU-3535,Equipment,223,86.15,2024-11-27,19211.45
500018,1,SKU-5106,Equipment,236,52.34,2025-03-14,12352.240000000002
500018,2,SKU-4389,Consumables,50,43.58,2025-04-13,2179.0
500018,3,SKU-3105,Software,102,59.39,2025-03-28,6057.78
500019,1,SKU-9628,Services,183,42.79,2025-04-12,7830.57
500019,2,SKU-3901,Software,157,54.21,2025-03-27,8510.97
500019,3,SKU-5344,Services,169,12.99,2025-04-04,2195.31
500020,1,SKU-2129,Software,177,96.19,2024-12-21,17025.63
500021,1,SKU-5863,Hardware,28,54.11,2025-09-05,1515.08
500021,2,SKU-5072,Consumables,145,82.23,2025-09-23,11923.35
500021,3,SKU-1891,Consumables,79,57.57,2025-09-09,4548.03
500022,1,SKU-3691,Hardware,151,92.3,2025-05-09,13937.3
500023,1,SKU-8040,Hardware,226,97.46,2025-12-03,22025.96
500023,2,SKU-9917,Equipment,54,48.04,2025-11-15,2594.16
500023,3,SKU-1753,Equipment,197,52.94,2025-11-21,10429.18
500024,1,SKU-6839,Equipment,70,19.73,2025-11-29,1381.1000000000001
500024,2,SKU-2651,Consumables,205,84.07,2025-12-27,17234.35
500024,3,SKU-6307,Services,196,65.31,2025-12-04,12800.76
500025,1,SKU-2421,Services,75,32.1,2024-07-15,2407.5
500025,2,SKU-7256,Hardware,64,125.5,2024-06-30,8032.0
500025,3,SKU-8143,Software,94,55.08,2024-08-03,5177.5199999999995
500026,1,SKU-3696,Software,243,66.37,2024-09-04,16127.910000000002
500026,2,SKU-5837,Services,226,57.37,2024-09-20,12965.619999999999
500026,3,SKU-3852,Hardware,50,63.64,2024-09-23,3182.0
500027,1,SKU-9423,Services,66,121.0,2025-03-13,7986.0
500028,1,SKU-8672,Equipment,39,111.61,2025-05-16,4352.79
