OrderID,SupplierID,OrderDate,ProcurementManager,Department,Status,Priority
500001,1005,2024-11-27,Morgan Patel,Operations,In Transit,Standard
500002,1018,2024-03-15,Alex Chen,Retail,Open,Standard
500003,1017,2024-02-29,Jordan Lee,Operations,Closed,Standard
500004,1014,2025-03-20,Alex Chen,Operations,Closed,Standard
500005,1014,2025-07-18,Alex Chen,Operations,In Transit,Standard
500006,1021,2024-08-16,Casey Brown,Retail,Closed,Rush
500007,1013,2025-08-22,Alex Chen,Operations,Closed,Standard
500008,1005,2025-07-24,Taylor Smith,Finance,Open,Standard
500009,1004,2025-07-07,Casey Brown,Retail,Open,Standard
500010,1006,2025-11-29,Alex Chen,Retail,In Transit,Standard
500011,1007,2025-10-16,Taylor Smith,Retail,Closed,Standard
500012,1003,2025-12-30,Casey Brown,Retail,Closed,Rush
500013,1016,2024-07-29,Casey Brown,IT,Open,Standard
500014,1019,2025-04-21,Morgan Patel,IT,Open,Standard
500015,1006,2024-09-11,Jordan Lee,Retail,Closed,Standard
500016,1017,2024-11-03,Morgan Patel,Facilities,Open,Standard
500017,1020,2024-10-21,Alex Chen,Retail,Closed,Standard
500018,1006,2025-03-04,Taylor Smith,Facilities,Closed,Standard
500019,1002,2025-03-07,Alex Chen,Retail,In Transit,Rush
500020,1011,2024-11-17,Taylor Smith,Facilities,In Transit,Standard
500021,1015,2025-08-16,Alex Chen,IT,Closed,Standard
500022,1023,2025-04-30,Alex Chen,IT,Closed,Standard
500023,1019,2025-10-24,Morgan Patel,Facilities,Open,Standard
500024,1012,2025-11-15,Alex Chen,IT,Open,Standard
500025,1020,2024-06-21,Alex Chen,Operations,Open,Standard
500026,1025,2024-08-11,Taylor Smith,Finance,Closed,Standard
500027,1013,2025-02-11,Morgan Patel,Finance,Closed,Standard
500028,1013,2025-04-04,Casey Brown,Finance,Open,Standard
500029,1018,2025-03-16,Taylor Smith,Facilities,In Transit,Standard
500030,1022,2025-01-02,Morgan Patel,Finance,Closed,Standard
500031,1006,2024-03-25,Jordan Lee,Finance,Closed,Standard
500032,1016,2024-01-13,Casey Brown,IT,Closed,Standard
500033,1001,2024-10-15,Jordan Lee,Retail,Open,Standard
500034,1020,2025-01-13,Casey Brown,Finance,Open,Standard
500035,1017,2025-12-08,Casey Brown,Operations,In Transit,Standard
500036,1025,2025-04-12,Casey Brown,Facilities,Open,Standard
500037,1013,2025-02-12,Alex Chen,Facilities,Open,Standard
500038,1007,2024-03-04,Alex Chen,Facilities,Closed,Standard
500039,1004,2024-06-15,Taylor Smith,Operations,In Transit,Standard
500040,1001,2024-04-14,Casey Brown,Retail,Closed,Rush
500041,1012,2024-04-13,Casey Brown,Operations,Closed,Standard
500042,1020,2024-07-31,Morgan Patel,IT,Closed,Standard
500043,1020,2024-12-21,Taylor Smith,Operations,Open,Rush
500044,1016,2024-04-28,Morgan Patel,Facilities,Open,Rush
500045,1003,2024-11-15,Jordan Lee,IT,Closed,Standard
500046,1016,2024-09-28,Jordan Lee,Operations,In Transit,Standard
500047,1017,2024-07-29,Taylor Smith,Retail,Closed,Standard
500048,1025,2024-01-28,Casey Brown,Operations,Open,Rush
500049,1009,2025-12-13,Casey Brown,Finance,Open,Standard
500050,1025,2024-12-30,Jordan Lee,Retail,In Transit,Standard
500051,1011,2025-05-29,Jordan Lee,Finance,In Transit,Standard
500052,1013,2024-09-02,Jordan Lee,Retail,Closed,Standard
500053,1012,2025-05-19,Alex Chen,IT,Closed,Standard
500054,1009,2025-04-28,Jordan Lee,Retail,In Transit,Rush
500055,1015,2024-12-18,Taylor Smith,Operations,Open,Standard
500056,1004,2024-08-13,Jordan Lee,Finance,Open,Rush
500057,1007,2024-12-11,Morgan Patel,Retail,In Transit,Standard
500058,1016,2024-01-02,Taylor Smith,Operations,In Transit,Rush
500059,1004,2025-11-07,Morgan Patel,Finance,In Transit,Standard
500060,1006,2025-05-04,Morgan Patel,IT,In Transit,Standard
500061,1024,2024-03-29,Morgan Patel,Facilities,Open,Standard
500062,1024,2024-03-27,Jordan Lee,Finance,Closed,Standard
500063,1005,2024-01-29,Casey Brown,Finance,Open,Standard
500064,1020,2025-09-18,Morgan Patel,IT,In Transit,Standard
500065,1018,2024-06-08,Casey Brown,Operations,Closed,Standard
500066,1024,2024-01-15,Alex Chen,Finance,In Transit,Standard
500067,1007,2025-03-20,Jordan Lee,IT,Closed,Rush
500068,1010,2024-08-05,Casey Brown,Retail,Closed,Standard
500069,1009,2024-11-29,Casey Brown,Finance,Open,Standard
500070,1024,2024-03-03,Taylor Smith,Retail,Open,Standard
500071,1014,2025-06-13,Casey Brown,Retail,Closed,Standard
500072,1017,2024-06-04,Casey Brown,Facilities,Closed,Standard
500073,1020,2024-07-06,Alex Chen,Finance,Closed,Standard
500074,1016,2024-05-24,Casey Brown,Operations,In Transit,Standard
500075,1002,2025-07-23,Taylor Smith,Retail,In Transit,Standard
500076,1018,2025-06-27,Morgan Patel,Retail,Closed,Rush
500077,1008,2024-02-28,Jordan Lee,Operations,Open,Rush
500078,1017,2024-04-10,Morgan Patel,Operations,In Transit,Standard
500079,1015,2024-03-05,Taylor Smith,Retail,In Transit,Standard
500080,1017,2025-09-12,Jordan Lee,IT,In Transit,Standard
500081,1017,2025-04-08,Casey Brown,Retail,Open,Standard
500082,1023,2024-09-10,Casey Brown,Retail,Open,Standard
500083,1015,2024-07-26,Jordan Lee,Operations,Open,Standard
500084,1015,2025-02-05,Taylor Smith,Finance,Closed,Standard
500085,1003,2025-03-14,Jordan Lee,IT,In Transit,Standard
500086,1025,2024-05-05,Jordan Lee,IT,In Transit,Standard
